Дата,Час,Код цифровий,Код літерний,Кількість одиниць,Назва валюти,"Офіційний курс гривні, грн"
24.02.2025,00.00,978,EUR,1,Євро,43.5093
25.02.2025,00.00,978,EUR,1,Євро,43.6448
26.02.2025,00.00,978,EUR,1,Євро,43.7892
27.02.2025,00.00,978,EUR,1,Євро,43.6252
28.02.2025,00.00,978,EUR,1,Євро,43.4942
01.03.2025,00.00,978,EUR,1,Євро,43.4942
02.03.2025,00.00,978,EUR,1,Євро,43.4942
03.03.2025,00.00,978,EUR,1,Євро,43.1134
04.03.2025,00.00,978,EUR,1,Євро,43.5417
05.03.2025,00.00,978,EUR,1,Євро,43.8775
06.03.2025,00.00,978,EUR,1,Євро,44.2493
07.03.2025,00.00,978,EUR,1,Євро,44.5596
08.03.2025,00.00,978,EUR,1,Євро,44.5596
09.03.2025,00.00,978,EUR,1,Євро,44.5596
10.03.2025,00.00,978,EUR,1,Євро,44.7281
11.03.2025,00.00,978,EUR,1,Євро,44.7716
12.03.2025,00.00,978,EUR,1,Євро,45.2141
13.03.2025,00.00,978,EUR,1,Євро,45.1644
14.03.2025,00.00,978,EUR,1,Євро,45.0007
15.03.2025,00.00,978,EUR,1,Євро,45.0007
16.03.2025,00.00,978,EUR,1,Євро,45.0007
17.03.2025,00.00,978,EUR,1,Євро,45.2291
18.03.2025,00.00,978,EUR,1,Євро,45.1649
19.03.2025,00.00,978,EUR,1,Євро,45.3483
20.03.2025,00.00,978,EUR,1,Євро,45.3229
21.03.2025,00.00,978,EUR,1,Євро,45.0014
22.03.2025,00.00,978,EUR,1,Євро,45.0014
23.03.2025,00.00,978,EUR,1,Євро,45.0014
24.03.2025,00.00,978,EUR,1,Євро,44.9807
25.03.2025,00.00,978,EUR,1,Євро,45.0886
26.03.2025,00.00,978,EUR,1,Євро,45.1389
27.03.2025,00.00,978,EUR,1,Євро,44.823
28.03.2025,00.00,978,EUR,1,Євро,44.7471
29.03.2025,00.00,978,EUR,1,Євро,44.7471
30.03.2025,00.00,978,EUR,1,Євро,44.7471
31.03.2025,00.00,978,EUR,1,Євро,44.7472
01.04.2025,00.00,978,EUR,1,Євро,44.8278
02.04.2025,00.00,978,EUR,1,Євро,44.6084
03.04.2025,00.00,978,EUR,1,Євро,44.6339
04.04.2025,00.00,978,EUR,1,Євро,45.8531
05.04.2025,00.00,978,EUR,1,Євро,45.8531
06.04.2025,00.00,978,EUR,1,Євро,45.8531
07.04.2025,00.00,978,EUR,1,Євро,45.5524
08.04.2025,00.00,978,EUR,1,Євро,45.0532
09.04.2025,00.00,978,EUR,1,Євро,45.0258
10.04.2025,00.00,978,EUR,1,Євро,45.5471
11.04.2025,00.00,978,EUR,1,Євро,45.8415
12.04.2025,00.00,978,EUR,1,Євро,45.8415
13.04.2025,00.00,978,EUR,1,Євро,45.8415
14.04.2025,00.00,978,EUR,1,Євро,46.9153
15.04.2025,00.00,978,EUR,1,Євро,47.0271
16.04.2025,00.00,978,EUR,1,Євро,46.6104
17.04.2025,00.00,978,EUR,1,Євро,46.8205
18.04.2025,00.00,978,EUR,1,Євро,47.0043
19.04.2025,00.00,978,EUR,1,Євро,47.0043
20.04.2025,00.00,978,EUR,1,Євро,47.0043
21.04.2025,00.00,978,EUR,1,Євро,47.0253
22.04.2025,00.00,978,EUR,1,Євро,47.7653
23.04.2025,00.00,978,EUR,1,Євро,47.7131
24.04.2025,00.00,978,EUR,1,Євро,47.5421
25.04.2025,00.00,978,EUR,1,Євро,47.4171
26.04.2025,00.00,978,EUR,1,Євро,47.4171
27.04.2025,00.00,978,EUR,1,Євро,47.4171
28.04.2025,00.00,978,EUR,1,Євро,47.3856
29.04.2025,00.00,978,EUR,1,Євро,47.3921
30.04.2025,00.00,978,EUR,1,Євро,47.284
01.05.2025,00.00,978,EUR,1,Євро,47.1687
02.05.2025,00.00,978,EUR,1,Євро,47.0808
03.05.2025,00.00,978,EUR,1,Євро,47.0808
04.05.2025,00.00,978,EUR,1,Євро,47.0808
05.05.2025,00.00,978,EUR,1,Євро,47.3127
06.05.2025,00.00,978,EUR,1,Євро,47.1868
07.05.2025,00.00,978,EUR,1,Євро,46.9637
08.05.2025,00.00,978,EUR,1,Євро,47.0745
09.05.2025,00.00,978,EUR,1,Євро,46.887
10.05.2025,00.00,978,EUR,1,Євро,46.887
11.05.2025,00.00,978,EUR,1,Євро,46.887
12.05.2025,00.00,978,EUR,1,Євро,46.7528
13.05.2025,00.00,978,EUR,1,Євро,46.1578
14.05.2025,00.00,978,EUR,1,Євро,46.0924
15.05.2025,00.00,978,EUR,1,Євро,46.5886
16.05.2025,00.00,978,EUR,1,Євро,46.3831
17.05.2025,00.00,978,EUR,1,Євро,46.3831
18.05.2025,00.00,978,EUR,1,Євро,46.3831
19.05.2025,00.00,978,EUR,1,Євро,46.449
20.05.2025,00.00,978,EUR,1,Євро,46.8562
21.05.2025,00.00,978,EUR,1,Євро,46.6521
22.05.2025,00.00,978,EUR,1,Євро,46.9138
23.05.2025,00.00,978,EUR,1,Євро,46.9281
24.05.2025,00.00,978,EUR,1,Євро,46.9281
25.05.2025,00.00,978,EUR,1,Євро,46.9281
26.05.2025,00.00,978,EUR,1,Євро,46.9949
24.05.2024,00.00,840,USD,1,Долар США,39.9205
25.05.2024,00.00,840,USD,1,Долар США,39.9205
26.05.2024,00.00,840,USD,1,Долар США,39.9205
27.05.2024,00.00,840,USD,1,Долар США,40.1153
28.05.2024,00.00,840,USD,1,Долар США,40.3012
29.05.2024,00.00,840,USD,1,Долар США,40.3958
30.05.2024,00.00,840,USD,1,Долар США,40.4832
31.05.2024,00.00,840,USD,1,Долар США,40.5001
01.06.2024,00.00,840,USD,1,Долар США,40.5001
02.06.2024,00.00,840,USD,1,Долар США,40.5001
03.06.2024,00.00,840,USD,1,Долар США,40.5373
04.06.2024,00.00,840,USD,1,Долар США,40.4813
05.06.2024,00.00,840,USD,1,Долар США,40.2938
06.06.2024,00.00,840,USD,1,Долар США,40.1254
07.06.2024,00.00,840,USD,1,Долар США,40.1537
08.06.2024,00.00,840,USD,1,Долар США,40.1537
09.06.2024,00.00,840,USD,1,Долар США,40.1537
10.06.2024,00.00,840,USD,1,Долар США,40.2485
11.06.2024,00.00,840,USD,1,Долар США,40.4246
12.06.2024,00.00,840,USD,1,Долар США,40.5178
13.06.2024,00.00,840,USD,1,Долар США,40.4441
14.06.2024,00.00,840,USD,1,Долар США,40.6908
15.06.2024,00.00,840,USD,1,Долар США,40.6908
16.06.2024,00.00,840,USD,1,Долар США,40.6908
17.06.2024,00.00,840,USD,1,Долар США,40.649
18.06.2024,00.00,840,USD,1,Долар США,40.6485
19.06.2024,00.00,840,USD,1,Долар США,40.5493
20.06.2024,00.00,840,USD,1,Долар США,40.5381
21.06.2024,00.00,840,USD,1,Долар США,40.5184
22.06.2024,00.00,840,USD,1,Долар США,40.5184
23.06.2024,00.00,840,USD,1,Долар США,40.5184
24.06.2024,00.00,840,USD,1,Долар США,40.4478
25.06.2024,00.00,840,USD,1,Долар США,40.5505
26.06.2024,00.00,840,USD,1,Долар США,40.6545
27.06.2024,00.00,840,USD,1,Долар США,40.5138
28.06.2024,00.00,840,USD,1,Долар США,40.5374
29.06.2024,00.00,840,USD,1,Долар США,40.5374
30.06.2024,00.00,840,USD,1,Долар США,40.5374
01.07.2024,00.00,840,USD,1,Долар США,40.4542
02.07.2024,00.00,840,USD,1,Долар США,40.6413
03.07.2024,00.00,840,USD,1,Долар США,40.7476
04.07.2024,00.00,840,USD,1,Долар США,40.7599
05.07.2024,00.00,840,USD,1,Долар США,40.5458
06.07.2024,00.00,840,USD,1,Долар США,40.5458
07.07.2024,00.00,840,USD,1,Долар США,40.5458
08.07.2024,00.00,840,USD,1,Долар США,40.542
09.07.2024,00.00,840,USD,1,Долар США,40.7
10.07.2024,00.00,840,USD,1,Долар США,40.7662
11.07.2024,00.00,840,USD,1,Долар США,40.7146
12.07.2024,00.00,840,USD,1,Долар США,40.8823
13.07.2024,00.00,840,USD,1,Долар США,40.8823
14.07.2024,00.00,840,USD,1,Долар США,40.8823
15.07.2024,00.00,840,USD,1,Долар США,41.0434
16.07.2024,00.00,840,USD,1,Долар США,41.0107
17.07.2024,00.00,840,USD,1,Долар США,41.2575
18.07.2024,00.00,840,USD,1,Долар США,41.4627
19.07.2024,00.00,840,USD,1,Долар США,41.422
20.07.2024,00.00,840,USD,1,Долар США,41.422
21.07.2024,00.00,840,USD,1,Долар США,41.422
22.07.2024,00.00,840,USD,1,Долар США,41.4912
23.07.2024,00.00,840,USD,1,Долар США,41.3369
24.07.2024,00.00,840,USD,1,Долар США,41.2316
25.07.2024,00.00,840,USD,1,Долар США,41.2174
26.07.2024,00.00,840,USD,1,Долар США,41.1977
27.07.2024,00.00,840,USD,1,Долар США,41.1977
28.07.2024,00.00,840,USD,1,Долар США,41.1977
29.07.2024,00.00,840,USD,1,Долар США,41.098
30.07.2024,00.00,840,USD,1,Долар США,41.0478
31.07.2024,00.00,840,USD,1,Долар США,41.0291
01.08.2024,00.00,840,USD,1,Долар США,41.0063
02.08.2024,00.00,840,USD,1,Долар США,41.139
03.08.2024,00.00,840,USD,1,Долар США,41.139
04.08.2024,00.00,840,USD,1,Долар США,41.139
05.08.2024,00.00,840,USD,1,Долар США,41.225
06.08.2024,00.00,840,USD,1,Долар США,41.1966
07.08.2024,00.00,840,USD,1,Долар США,41.0381
08.08.2024,00.00,840,USD,1,Долар США,40.9847
09.08.2024,00.00,840,USD,1,Долар США,40.9926
10.08.2024,00.00,840,USD,1,Долар США,40.9926
11.08.2024,00.00,840,USD,1,Долар США,40.9926
12.08.2024,00.00,840,USD,1,Долар США,41.119
13.08.2024,00.00,840,USD,1,Долар США,41.283
14.08.2024,00.00,840,USD,1,Долар США,41.3464
15.08.2024,00.00,840,USD,1,Долар США,41.3262
16.08.2024,00.00,840,USD,1,Долар США,41.1382
17.08.2024,00.00,840,USD,1,Долар США,41.1382
18.08.2024,00.00,840,USD,1,Долар США,41.1382
19.08.2024,00.00,840,USD,1,Долар США,41.211
20.08.2024,00.00,840,USD,1,Долар США,41.3027
21.08.2024,00.00,840,USD,1,Долар США,41.3459
22.08.2024,00.00,840,USD,1,Долар США,41.2975
23.08.2024,00.00,840,USD,1,Долар США,41.2881
24.08.2024,00.00,840,USD,1,Долар США,41.2881
25.08.2024,00.00,840,USD,1,Долар США,41.2881
26.08.2024,00.00,840,USD,1,Долар США,41.2236
27.08.2024,00.00,840,USD,1,Долар США,41.3591
28.08.2024,00.00,840,USD,1,Долар США,41.3008
29.08.2024,00.00,840,USD,1,Долар США,41.2508
30.08.2024,00.00,840,USD,1,Долар США,41.1901
31.08.2024,00.00,840,USD,1,Долар США,41.1901
01.09.2024,00.00,840,USD,1,Долар США,41.1901
02.09.2024,00.00,840,USD,1,Долар США,41.0592
03.09.2024,00.00,840,USD,1,Долар США,41.0976
04.09.2024,00.00,840,USD,1,Долар США,41.264
05.09.2024,00.00,840,USD,1,Долар США,41.2766
06.09.2024,00.00,840,USD,1,Долар США,41.089
07.09.2024,00.00,840,USD,1,Долар США,41.089
08.09.2024,00.00,840,USD,1,Долар США,41.089
09.09.2024,00.00,840,USD,1,Долар США,41.0168
10.09.2024,00.00,840,USD,1,Долар США,41.0948
11.09.2024,00.00,840,USD,1,Долар США,41.14
12.09.2024,00.00,840,USD,1,Долар США,41.1855
13.09.2024,00.00,840,USD,1,Долар США,41.2743
14.09.2024,00.00,840,USD,1,Долар США,41.2743
15.09.2024,00.00,840,USD,1,Долар США,41.2743
16.09.2024,00.00,840,USD,1,Долар США,41.3171
17.09.2024,00.00,840,USD,1,Долар США,41.3591
18.09.2024,00.00,840,USD,1,Долар США,41.41
19.09.2024,00.00,840,USD,1,Долар США,41.4508
20.09.2024,00.00,840,USD,1,Долар США,41.4445
21.09.2024,00.00,840,USD,1,Долар США,41.4445
22.09.2024,00.00,840,USD,1,Долар США,41.4445
23.09.2024,00.00,840,USD,1,Долар США,41.3481
24.09.2024,00.00,840,USD,1,Долар США,41.3567
25.09.2024,00.00,840,USD,1,Долар США,41.3744
26.09.2024,00.00,840,USD,1,Долар США,41.2647
